Title,Author,Category,Pengalaman Pribadi,Kesehatan Mental,Profesi,Percintaan,Mistis
Reflections as a Senior: My Favorite Moments,Mayoma Jolayemi '23,Pengalaman Pribadi,1,0,0,0,0
The Transformative Power of a Bachelor’s Degree,Clive Walker,Pengalaman Pribadi,1,0,0,0,0
Managing stress in College Academics,Vivek Rajak,"Pengalaman Pribadi, Kesehatan Mental",1,1,0,0,0
My college experience,Laurent Etienne,Pengalaman Pribadi,1,0,0,0,0
Pengalaman Memulai Jualan Pisang,"Masim ""Vavai"" Sugianto",Pengalaman Pribadi,1,0,0,0,0
Things I regret when I was in college,Ameer Muavia,Pengalaman Pribadi,1,0,0,0,0
How I Finally Figured Out What To Major In During College,Nicole Kisslinger,Pengalaman Pribadi,1,0,0,0,0
How College Students Can Use ChatGPT to 10x Productivity,Tairique Davis,Pengalaman Pribadi,1,0,0,0,0
Menjadi Programmer dalam 6 Bulan (Pengalaman Pribadi),Edi Djunaidi,"Profesi, Pengalaman Pribadi",1,0,1,0,0
4 ways to get high-paying writing work — don’t self-publish,Kayla Lee,Kesehatan Mental,0,1,0,0,0
What Can I Do Without an Eating Disorder?,Mary-Elizabeth Schurrer,Kesehatan Mental,0,1,0,0,0
Gen Z Is More Aware of Mental Health Than Other Generations,Mahevash Shaikh,Kesehatan Mental,0,1,0,0,0
Fighting the Stigma of Depression,Rachel Craft,Kesehatan Mental,0,1,0,0,0
Other People’s Perceptions of Me Trigger Negative Thoughts,Laura A. Barton,"Kesehatan Mental, Pengalaman Pribadi",1,1,0,0,0
My Medication Throughout Treatment Changed,Cherly Wozny,"Kesehatan Mental, Pengalaman Pribadi",1,1,0,0,0
How to Survive the Holidays with Anxiety and Depression,Martha Lueck,Kesehatan Mental,0,1,0,0,0
"Is My Depression Back, or Is It My Period?",Meghan Griffith,Kesehatan Mental,0,1,0,0,0
Anxiety and Bipolar: What It's Like to Have Both?,Hannah Blum,Kesehatan Mental,0,1,0,0,0
Self-Care in 30 Seconds or Less,George Abitante,Kesehatan Mental,0,1,0,0,0
Eating Disorder Treatments that Didn't Work for Me,Hollay Ghadery,"Kesehatan Mental, Pengalaman Pribadi",1,1,0,0,0
Why Men Pull Away And Come Back,Sabrina Bendory,Percintaan,0,0,0,1,0
"I Know I Seem Skeptical, But I'm Just Learning To Love You",Brittany Christopoulos,Percintaan,0,0,0,1,0
The Difference Between Being Unlucky In Love & Sabotaging Yourself With Negativity,Orna and Matthew Walters ,Percintaan,0,0,0,1,0
An Open Letter To The Love I Hope To Have,Madison Flatman,Percintaan,0,0,0,1,0
I Decided To Talk To People Who Have Been Single For 10 Years. Here's What Life Is Like For Them,Ossiana Tepfenhart,Percintaan,0,0,0,1,0
How To Get Out Of An Unhappy Marriage Without Getting Divorced,Mary Ellen Goggin Jerry Duberstein ,Percintaan,0,0,0,1,0
The Gift I Received From My Dead Husband Changed My Life Forever,Amy Sue Nathan,Percintaan,0,0,0,1,0
"A Letter To My Future Love, From Your Chronically Ill Partner",Allysha Snow,Percintaan,0,0,0,1,0
"To All The Girls Looking For Love, Please Never Settle",Natalie Trznadel,Percintaan,0,0,0,1,0
What I Learned From My 3 Deepest Romantic Connections," Ruth Schimel, PhD",Percintaan,0,0,0,1,0
"Mengapa Saya Meninggalkan Go-Jek, Unicorn Start up Indonesia",Anggit Yuniar Pradito,Profesi,0,0,1,0,0
Bagaimana Memulai Startup di Indonesia?,Andrew Ryan Sinaga,Profesi,0,0,1,0,0
Bertransaksi Online Menggunakan Kartu Kredit Indonesia Sangatlah Aman,Natali Ardianto,Pengalaman Pribadi,1,0,0,0,0
Ngomongin Cinta? Ini Opini!,Hebbie Agus Kurnia,Percintaan,0,0,0,1,0
Surat Cinta,Anggit Yuniar Pradito,Percintaan,0,0,0,1,0
Rasanya Bekerja Dengan Depresi,dhani,Kesehatan Mental,0,1,0,0,0
I’m Bipolar,Mary McGee (she/her),Kesehatan Mental,0,1,0,0,0
"Pengalaman, Kesehatan Mental dan Hewan Peliharaan",Tiara Afwani,Kesehatan Mental,0,1,0,0,0
Mengurangi Instagram Demi Kesehatan Mentalku,Annisa Widi Astuty,Kesehatan Mental,0,1,0,0,0
Kami ODGJ/ODMK. Apa Kami Tidak Pantas Dicintai Dengan Layak?,Ann Putri,Kesehatan Mental,0,1,0,0,0
Satu Minggu Tanpa Instagram,Dzikrina Iffa,Kesehatan Mental,0,1,0,0,0
Pentingnya Profesionalisme di Industri Start Up,Fajrin Rasyid,"Profesi, Pengalaman Pribadi",1,0,1,0,0
Designer *katanya,Roa Nuha Kalijaga,Profesi,0,0,1,0,0
Tentang Relationship,luthfichan,Percintaan,0,0,0,1,0
Menjalankan Bisnis Ala Introvert,Mas Hartadi,"Profesi, Pengalaman Pribadi",1,0,1,0,0
Skripsi Adalah Seni,Ismawati Nurjannah,Pengalaman Pribadi,1,0,0,0,0
"Goodbye, Data Analyst",Achmad Nafila Rozie,"Profesi, Pengalaman Pribadi",1,0,1,0,0
Pengalaman Kerja: 3 Tahun Sebagai Programmer,Ridoan Nasution,"Profesi, Pengalaman Pribadi",1,0,1,0,0
"Pengalaman Jadi Content Writer, Seru Gak Sih?",Melania L Anindya,"Profesi, Pengalaman Pribadi",1,0,1,0,0
Kalau Kamu Selalu Khawatir,Adjie Santosoputro,Kesehatan Mental,0,1,0,0,0
Berapa Gaji Yoel?,Yoel Sumitro,Profesi,0,0,1,0,0
7 Kelakuan Bodoh yang Nggak Gue Sesali Selama Kuliah,Bani Syahroni,Pengalaman Pribadi,1,0,0,0,0
Pengalaman Saya Selama Menjadi UX Designer Intern di Blibli.com,Santi Lee,"Profesi, Pengalaman Pribadi",1,0,1,0,0
Pacaran Mengajariku 5 Hal Mengenai Toleransi,Viko Anugrah,Percintaan,0,0,0,1,0
"Depresi: Bukan Lemah, Hanya Lelah, Tak Ada Tempat Berkeluh-kesah",Eunike K,Kesehatan Mental,0,1,0,0,0
Awal Mula ke Psikolog,Meutia Faradilla,Kesehatan Mental,0,1,0,0,0
Depresi. Masa sih?,Fitriana Citra Pratiwi,Kesehatan Mental,0,1,0,0,0
Saya dan Bipolar,Meutia Faradilla,Kesehatan Mental,0,1,0,0,0
Belajar Skill Ga Harus Lewat Kuliah,Iqbal Hariadi,Pengalaman Pribadi,1,0,0,0,0
Kata-kata itu sebenernya tidak bisa menyakiti,Ery Prihananto,Pengalaman Pribadi,1,0,0,0,0
I’m Slowly Learning That I Don’t Have To React To Everything That Bothers Me,Rania Naim,"Pengalaman Pribadi, Kesehatan Mental",1,1,0,0,0
The Best Revenge Is Self-Love,Rania Naim,"Pengalaman Pribadi, Kesehatan Mental",1,1,0,0,0
Read This If You’re An Old Soul Who Feels Lost,Shahida Arabi,Kesehatan Mental,0,1,0,0,0
"Chase Your Dreams Today, Not Tomorrow",Holly Riordan,Pengalaman Pribadi,1,0,0,0,0
"Keep Going, Even When You Feel Hopeless",Holly Riordan,Kesehatan Mental,0,1,0,0,0
It’s Okay To Feel Deeply,Amira Abdel-Fadil,Pengalaman Pribadi,1,0,0,0,0
Why We Keep Trying After We Fail,Susmitha Chinni,Kesehatan Mental,0,1,0,0,0
You Can Be Alone And Still Be Enough,Shelby Ensign,Kesehatan Mental,0,1,0,0,0
You Are Worthy Because You Exist,Amy Horton,Kesehatan Mental,0,1,0,0,0
"3 Reasons You’re Still Single, And What To Do About It",Sabrina Bendory,Percintaan,0,0,0,1,0
Still Love Your Ex? Here Are Six Steps To Help You Move On,Sabrina Bendory,Percintaan,0,0,0,1,0
He Says He Needs Space— Here’s What To Do,Sabrina Bendory,Percintaan,0,0,0,1,0
10 Ways to Be Eco Friendly as a College Student,Hana Muslea,Pengalaman Pribadi,1,0,0,0,0
How to Find Confidence in Your Career Path,Naomi Lopez,Profesi,0,0,1,0,0
5 Pre-Finals Rituals to Follow for Optimum Study Time,Noor Zayter,Pengalaman Pribadi,1,0,0,0,0
A Guide to Double-Majoring,Luke Sherrill,Pengalaman Pribadi,1,0,0,0,0
I Graduated College and Felt Nothing,Noor Zayter,Pengalaman Pribadi,1,0,0,0,0
How Graduation is Causing Me a (Good) Existential Crisis,Naomi Lopez,Pengalaman Pribadi,1,0,0,0,0
So I Moved Back Home After Graduation…,Heather Kierzek,Pengalaman Pribadi,1,0,0,0,0
How I Managed to Study on Spring Break,Luke Sherrill,Pengalaman Pribadi,1,0,0,0,0
NAMI (National Alliance on Mental Illness): Nonprofit Guide for College Students,Devin Stonerock,Kesehatan Mental,0,1,0,0,0
How to Become an Employee Benefits Professional,Petula Workman,Profesi,0,0,1,0,0
The Secrets of a Successful Internship,Petula Workman,Profesi,0,0,1,0,0
10 Tips on Making Lasting Friendships in the Classroom,Devin Stonerock,Pengalaman Pribadi,1,0,0,0,0
“What’s Your Major?”,Naomi Lopez,Pengalaman Pribadi,1,0,0,0,0
The Teacher I Hated Changed my College Journey,John Shay,Pengalaman Pribadi,1,0,0,0,0
Avoid College Application Regrets: Tips For Getting It Right the First Time,Sam Jaquez,Pengalaman Pribadi,1,0,0,0,0
Why Duke University Stood Out To Me,Amelia Leone,Pengalaman Pribadi,1,0,0,0,0
Supporting Student Mental Health,George Philip (GP) LeBourdais,Kesehatan Mental,0,1,0,0,0
Why Are Young People So Miserable?,Alvin Powell ,Kesehatan Mental,0,1,0,0,0
What Is A Good High School GPA For Top Colleges?,Angela Combs,Pengalaman Pribadi,1,0,0,0,0
A Year of Purpose: Exploring the Gap Year Option,Gap Year Association,Pengalaman Pribadi,1,0,0,0,0
8 of the Best Liberal Arts Colleges: Webinar Recap,Shreya Nagunuri,Pengalaman Pribadi,1,0,0,0,0
Cerita Mini : Suara yang Menumbangkan Malam,Roem Adi,Mistis,0,0,0,0,1
Pengalaman Kerja Sebagai Programmer di Salah Satu Klien Glints Batam,Ridoan Nasution,"Profesi, Pengalaman Pribadi",1,0,1,0,0
4 Pengalaman Mistis (atau mungkin Parno Saja) yang Saya Alami Sepanjang Hidup,Aji Pratama,Mistis,0,0,0,0,1
Mencatat Pengalaman Kerja,Dwinawan,Pengalaman Pribadi,1,0,0,0,0
Pengalaman pindah haluan karir menjadi UX Designer atau Product Designer,Borrys Hasian,"Profesi, Pengalaman Pribadi",1,0,1,0,0
Mengatur Ritme Pekerjaan,"Masim ""Vavai"" Sugianto","Profesi, Pengalaman Pribadi",1,0,1,0,0
Menjadi Penulis Mobile,Irwan Bajang,Profesi,0,0,1,0,0
Cinta Mengalahkan Agama? My love story in a phase.,Annisa Syifarani,"Percintaan, Pengalaman Pribadi",1,0,0,1,0
Pengalaman Pertama Menyapa Rinjani via Jalur Aik Berik,Eunike K,Pengalaman Pribadi,1,0,0,0,0
Common Relationship Issues - Can You Fix Them?,Sarah Adelie,Percintaan,0,0,0,1,0
Target Baru?,tyx,Mistis,0,0,0,0,1
Sharing Pengalaman Meraih Mimpi Kuliah di Jepang dengan Beasiswa,cendikial,Pengalaman Pribadi,1,0,0,0,0
My Haunted House,Chanderson,Mistis,0,0,0,0,1
Should’ve Left the Door Closed,Lutfira N. Annisa,Mistis,0,0,0,0,1
The Most Difficult People to Have Relationship With,Sarah Adelie,Percintaan,0,0,0,1,0
My Baby Son And The Open Closet Doors,Trascending Tales,Mistis,0,0,0,0,1
The Friendly One,Ravenn,Mistis,0,0,0,0,1